0|Adventure|The Fairylogue and Radio-Plays
0|Biography|The Story of the Kelly Gang
0|Comedy|Um Cavalheiro Deveras Obsequioso
0|Crime|The Story of the Kelly Gang
0|Documentary|België
0|Drama|El pastorcito de Torrente
0|Family|The Life of Moses
0|Fantasy|The Fairylogue and Radio-Plays
0|History|Den lille hornblæser
0|Musical|Pega na Chaleira
0|Music|Faust
0|News|The Joe Gans-Battling Nelson Fight
0|Romance|A Viúva Alegre
0|Sport|Jeffries and Ruhlin Sparring Contest at San Francisco, Cal., November 15, 1901
0|War|Gøngehøvdingen
1|Action|Beatrice Fairfax
1|Adult|The Goat
1|Adventure|The Dark Star
1|Animation|The Evils of Alcohol
1|Biography|Nelson
1|Comedy|Nearly a King
1|Crime|Arsene Lupin
1|Documentary|Congress Session in Bombay
1|Drama|Paid in Full
1|Family|Little Women
1|Fantasy|Lanka Dahan
1|History|Intolerance: Love's Struggle Throughout the Ages
1|Horror|J'accuse!
1|Musical|Excelsior
1|Music|A Musical Moment
1|Mystery|The Rogues of London
1|Romance|On the Quiet
1|Sci-Fi|20,000 Leagues Under the Sea
1|Short|Åh, i morron kväll
1|Sport|1915 World's Championship Series
1|Thriller|The Rogues of London
1|War|Lest We Forget
1|Western|Revenge
2|Action|The Road to Romance
2|Adult|Le ménage moderne de Madame Butterfly
2|Adventure|Bulldog Drummond
2|Animation|The Adventures of Prince Achmed
2|Biography|Paganini
2|Comedy|Fascinating Youth
2|Crime|Mist in the Valley
2|Documentary|O Rio Grande do Sul
2|Drama|Mist in the Valley
2|Family|The Cameraman
2|Fantasy|Loetoeng kasaroeng
2|Film-Noir|The Docks of New York
2|History|General Crack
2|Horror|Faust
2|Musical|The Five O'Clock Girl
2|Music|Paganini
2|Mystery|Strange Cargo
2|Romance|Fascinating Youth
2|Sci-Fi|Metropolis
2|Sport|Fascinating Youth
2|Thriller|Safety Last!
2|War|Under the Black Eagle
2|Western|Man of the Forest
3|Action|Treason
3|Adventure|The Barrier
3|Animation|The Story of the Fox
3|Biography|Yorck
3|Comedy|I Do Not Want to Know Who You Are
3|Crime|Burning Gold
3|Documentary|The First World War
3|Drama|Nihon josei dokuhon
3|Family|Modern Times
3|Fantasy|Bhakta Prahlada
3|Film-Noir|I Am a Fugitive from a Chain Gang
3|History|Joymati
3|Horror|Bride of Frankenstein
3|Musical|The Gang
