tt1830817	nm0179697	nm0899113
tt1825906	nm1278480	\N
tt6765436	nm8915095	\N
tt3797076	nm0393559	nm0393559
tt1395039	nm0615535	nm0615535
tt7659522	nm2555265	nm2555265
tt7082992	nm0005522	nm0415745,nm1737295
tt1927164	nm3533420	nm3533420
tt8342104	nm0727599	nm0727599,nm2070834
tt0105733	nm0769576	\N
tt1076786	nm0432438	\N
tt1267280	nm3084981	nm3083398
tt0059356	nm0137999	nm0478263,nm0110505,nm0622435
tt2960920	nm3282660	nm3282660
tt0093112	nm0681535	nm0637707,nm0681535
tt0358063	nm0781830	nm1618199,nm0315905,nm0713593
tt0293447	nm0708014	\N
tt0231876	nm0660252	nm0660252
tt0015335	nm0189076	nm0033966,nm0187256
tt0057028	nm0718106	nm0049587,nm0527331,nm0718106
tt2351277	nm3255506	nm2077045,nm0276466,nm3255506
tt0175269	nm0206031	\N
tt1736040	nm3833003	nm3833003,nm2593103
tt3079150	nm1963291	nm2262855
tt6464500	nm1602541	nm1602541
tt0061438	nm0350785	nm0350785,nm0245190,nm0269721,nm0053110
tt0202135	nm0155179	nm2634640
tt8347882	nm1913625	nm1913625
tt5228184	nm4332182	nm4332182
tt2386177	nm5030572	nm5030572
tt0074744	nm0617767	nm0379795,nm0477755,nm0617767
tt0045030	nm0486538	nm0002042,nm0486538
tt3113842	nm5869752	nm3746414,nm5869753
tt0084524	nm1590025	\N
tt1179852	nm0944357	nm0944357
tt0345503	nm0218525	nm0218525,nm0611313,nm1051842
tt0053583	nm0058826	nm0058826
tt0070763	nm0844506	nm1818170,nm0549548
tt1655389	nm0231596	nm0231596,nm0643093
tt7238958	nm6640071	nm6640071
tt1140875	nm1662883	nm1662883
tt1642662	nm3395284,nm2932347	nm3883653,nm3395284,nm2932347
tt0045281	nm0293707	nm0010987,nm0046773,nm0046772,nm1080563,nm0104355,nm0631447
tt1332007	nm0344804	nm0344804
tt1887751	nm2681108	nm2681108
tt1899216	nm0754621	nm0968527,nm0315850
tt0075159	nm0195140	nm0144689,nm0595063
tt7975674	nm0003332	nm6096058
tt7382680	nm8218440,nm9278502	nm8218440,nm9278502
tt1729172	nm0021975	nm0829775,nm0908624
tt8420192	nm6920571	nm2431417
tt5695140	nm6562354	nm6562468
tt8726166	nm1126346	nm9985837
tt8287172	\N	\N
tt2244697	nm2517839	nm4903140
tt0317136	nm1164089	nm1164089,nm6535559,nm6535560
tt0154028	\N	\N
tt3429774	nm1486721	nm1486721
tt8787396	\N	nm0812513
tt0404434	nm1622101,nm0657670	nm0657670
tt2156693	nm0464062	nm0464062
tt0472458	nm0150897	nm0497762
tt5238896	\N	\N
tt1392095	nm0897196	\N
tt4799700	nm1006647	\N
tt7419326	nm0518031	nm0518031
tt4456262	nm1449395	nm1449395,nm4750158
tt8312224	nm7224096	nm7224096
tt0293332	nm0654617	\N
tt8334148	nm3579990	nm1000298
tt0145551	nm0449692	nm0066886
tt0146324	nm0752193	\N
tt0172394	nm0740424	nm0740424
tt5754050	nm4870080	nm4870080
tt4440878	nm7070082	nm3196329,nm7117241
tt0010678	nm0439208	\N
tt5614054	nm6082866	nm6082866,nm6197215
tt2933632	nm4464734	nm4464734
tt1167867	nm0634016	nm1163127,nm0634016
tt3597830	nm0394841	nm1277239
tt2436058	nm0148173	nm0078567,nm0148173,nm5186633,nm1119723
tt1631867	nm0510731	nm0003160,nm0125336,nm3890871,nm3872326
tt1712067	nm2385595	nm2385595
tt1461249	nm0973835	nm0973835
tt3290562	nm6044468	nm0241899
tt0199990	nm1269012	nm4728051
tt4269966	nm1754482	nm4868211
tt0077772	nm0150839,nm1794908	\N
tt0129414	nm0232777	nm0639844,nm0232777
tt0009781	nm0001124	nm0400912,nm0210352
tt0312374	nm1160584	nm1160584,nm1172278
tt1553930	nm3711097	\N
tt2789512	nm0040220	nm0040220,nm5348476
tt2967646	nm0642536	nm0642536
tt3194412	nm3048527	nm3048527
tt2203757	nm1351271	\N
tt0027283	nm0002165	nm0002021
tt3874900	nm2989366	\N
tt4359602	nm1760883	nm0479268
tt0459578	nm0350407	nm0350407
tt0051934	nm0594020	nm0007639,nm0585044,nm0691355
tt2734974	nm2058359	nm2058359
tt1863160	nm2265756	nm4369202,nm2265756
tt6968706	nm3455997	nm3825232,nm3657049
tt3157254	nm5426640	nm5426640
tt1263764	nm3078572	\N
tt4760890	nm7381562	\N
tt2124829	nm0638175,nm0701821	nm0638175,nm0701821
tt0416960	nm0846092	nm0702600
tt0040155	nm0869664	nm0575547,nm0802561
tt1791441	nm4214911	nm4214911
tt1279237	nm1119681	nm0756580,nm1119681
tt0323860	nm0263765	nm0263765
tt6192784	\N	nm2111621,nm0272625
tt1886574	nm2666268	nm0580559
tt3009456	nm0075953	nm0075953
tt6498604	nm6173373	\N
tt0438871	\N	\N
tt8068228	nm2133921	nm2133921
tt0377119	nm0432723	nm0139512,nm0432723,nm0901038
tt1360768	nm0085251	\N
tt4580370	nm4078227	nm1907447
tt0338988	nm0150744	nm0150744
tt0438054	\N	nm5429521
tt0008424	nm0558236	\N
tt0023346	nm0909436	nm0423964,nm0909436
tt3317762	nm4217820	nm4217820
tt0237625	nm9680656	nm9680656
tt4604480	\N	\N
tt2419838	nm4487445,nm4486604	nm4486604,nm4487445
tt4945068	nm0875323	nm0875323
tt0009941	nm0883920	nm0073238
tt0051618	nm0004573	nm0276102,nm0946753
tt3527012	nm0905586	nm0905586
tt0318011	nm0159364	nm0159364
tt0321963	nm1190656	\N
tt1450722	nm3515960	nm3516855,nm3516674,nm3515960
tt0180115	nm0431261	nm0525676,nm0586235
tt1670365	nm0915304	nm0387198,nm3349927
tt2182135	nm4587606	nm4587606
tt0012759	nm0934010	nm0067308
tt0198965	nm0820155	nm0208086,nm0820155
tt7699284	nm3759805	\N
tt3828854	nm0008409	nm0008409
tt0103735	nm0315464	nm0315464
tt0193891	nm0798827	\N
tt3815126	nm0798189	\N
tt3810486	nm3273085	nm3273085,nm1632130
tt0180772	nm0645024	nm0002745,nm0645024
tt2767002	nm5567901	nm5567901
tt1233200	nm1703983	nm1703983
tt0139339	nm0584778	nm0584778
tt0113744	nm0256442	nm0256442
tt2960678	nm0351411	nm0443429
tt1479958	nm3437703	nm3437703
tt0266948	nm0013193	nm0013193
tt2369596	nm2684756,nm1561986	nm1561986,nm2684756
tt0261697	nm0134591	nm0134591
tt0823209	nm0611679	nm0611679
tt0372776	nm1391607	\N
tt1177963	nm0510879	nm0510879
tt4829450	nm5059387	\N
tt3273740	nm6027250	nm6027250
tt1007950	nm0455767	nm0996527,nm1563091
tt0186010	nm0056596	\N
tt0034947	nm0955072	nm0955072
tt1986126	nm1031064	nm1031064
tt0329506	nm0432845	nm0432845,nm0872592
tt0058969	nm0858873	nm0745349,nm0031553
tt3711684	nm0728276	nm0728276,nm4444474,nm0211960
tt7297956	nm0019723	nm0019723
tt1592556	nm0821526	nm0821526,nm0083772
tt0316538	nm0595768	nm1056744,nm0531143
tt1874759	nm3294344,nm4392346	nm4392895
tt1198192	\N	nm2577949
tt0220481	nm0116841	nm0895027
tt3959580	nm3260245	nm3260245
tt7435274	nm9305668	\N
tt3738976	nm0632765	nm0441554
tt0154265	nm0025629	nm0025629,nm0762779
tt4942738	nm0675815	\N
tt5780352	nm1870153	nm8192355
tt2194595	nm0086066	nm0086066
tt2591706	nm2074194	\N
tt2676892	nm0916675	nm0916675
tt1725803	nm3573399	nm2579053,nm3573399
tt2098680	nm0840651	\N
tt2388775	nm0517665	nm0517665
tt3745694	nm2226309	nm2267468,nm2226309,nm2268457
tt1669649	nm1858059	nm2148135,nm1858059
tt2528466	nm4814845	\N
tt2376024	nm3238760,nm1930582	\N
tt7094790	nm2698132	\N
tt0001163	\N	\N
tt4665642	nm7309887	\N
tt0145463	nm0407990	nm1062540
tt8613758	\N	nm3084786
tt0035629	nm0448915	nm0740162,nm0110958
tt0167897	nm0033840	nm0033840
tt1742078	nm2095546,nm0175264	\N
